name	bad_versions	incident	confidence	sources
qhttpengine	1.0.1-6	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qinfo	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qlementine	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qmdnsengine	0.2.1-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qmltermwidget-git	*	atomic-arch-2026-06	single-source	aur-git-mirror
qnapi	0.2.3-7	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qobuz-player-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qpitch	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qrfcview	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qscite	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qshntoolsplit	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qt-inspector-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qt-solutions-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qt5-3d	5.15.18-1	atomic-arch-2026-06	primary-source	aur-git-mirror
qtum-core	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qtvkbd	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
quack	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
qucs	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
quickrdp	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
quickswitch-i3	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
qutepart-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qv2ray-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
qwt-qt4	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
r-dbplyr	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
r2-iaito-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
r8101-dkms	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
rabbitvcs-cli	*	atomic-arch-2026-06	single-source	aur-git-mirror
raccoon	*	atomic-arch-2026-06	single-source	aur-git-mirror
raccoon-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
raceintospace	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
radare2-bindings	*	atomic-arch-2026-06	single-source	aur-git-mirror
radare2-bindings-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
radium	*	atomic-arch-2026-06	single-source	aur-git-mirror
rainbarf-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
rainloop	*	atomic-arch-2026-06	single-source	aur-git-mirror
rarian	0.8.6-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
ratox-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
raven-qt	*	atomic-arch-2026-06	single-source	aur-git-mirror
rayforge	*	atomic-arch-2026-06	single-source	aur-git-mirror
rbutil-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
rdm-bin	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
rdup	*	atomic-arch-2026-06	single-source	aur-git-mirror
reactphysics3d	0.10.2-1	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
reactphysics3d-docs	0.10.2-1	atomic-arch-2026-06	primary-source	research-2026-06-12
realtimeconfigquickscan-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
refind-theme-dreary-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
remotemouse	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
rep-gtk	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
repoporge	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
resetmsmice	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
retibbs-client-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
retrovol	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis
rgain3	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
rhythmbox-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
rhythmbox-llyrics	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
rhythmbox-plugin-alternative-toolbar-git	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,aur-git-mirror
rimworld	*	atomic-arch-2026-06	primary-source	aur-general-thread,ioctl-analysis,cscs-list,grht-list,aur-git-mirror,cachyos-forum
